,Title,Distributor,Runtime,Rating,Action,Adventure,Biography,Comedy,Crime,Documentary,Drama,Family,History,Horror,Music,Mystery,Romance,Sport,Thriller,War,Western,Budget,Domestic_Gross
208,Night at the Museum: Battle of the Smithsonian,Twentieth Century Fox,105.0,PG,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,150000000,177243721
209,Night at the Museum: Secret of the Tomb,Twentieth Century Fox,98.0,PG,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,127000000,113746621
210,The Chronicles of Narnia: Prince Caspian,Walt Disney Studios Motion Pictures,150.0,PG,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,225000000,141621490
211,The Secret Life of Pets,Universal Pictures,87.0,PG,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,75000000,368384330
212,Kung Fu Panda,DreamWorks,92.0,PG,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130000000,215434591
213,Kung Fu Panda 2,DreamWorks,90.0,PG,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150000000,165249063
214,Kung Fu Panda 3,Twentieth Century Fox,95.0,PG,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140000000,143528619
215,Rush Hour 2,New Line Cinema,90.0,PG-13,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,90000000,226164286
216,Rush Hour,New Line Cinema,98.0,PG-13,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,35000000,141186864
217,Rush Hour 3,New Line Cinema,91.0,PG-13,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,180000000,140125968
218,Live Free or Die Hard,Twentieth Century Fox,128.0,PG-13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,110000000,134529403
220,A Good Day to Die Hard,Twentieth Century Fox,98.0,R,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,92000000,67349198
221,Clear and Present Danger,Paramount Pictures,141.0,PG-13,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,62000000,122012656
223,The Sum of All Fears,Paramount Pictures,124.0,PG-13,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,68000000,118471320
224,Patriot Games,Paramount Pictures,117.0,R,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,45000000,83287363
225,Jack Ryan: Shadow Recruit,Paramount Pictures,105.0,PG-13,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,60000000,50577412
227,Lethal Weapon 3,Warner Bros.,118.0,R,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,35000000,144731527
228,Lethal Weapon 4,Warner Bros.,127.0,R,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,140000000,130444603
229,Hotel Transylvania 2,ony Pictures Entertainment (SPE),89.0,PG,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,80000000,169700110
230,Hotel Transylvania 3: Summer Vacation,ony Pictures Entertainment (SPE),97.0,PG,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,65000000,167500092
231,Hotel Transylvania,ony Pictures Entertainment (SPE),91.0,PG,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,85000000,148313048
232,Austin Powers in Goldmember,New Line Cinema,94.0,PG-13,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,63000000,213117789
233,Austin Powers: The Spy Who Shagged Me,New Line Cinema,95.0,PG-13,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,35000000,206040085
